Club,Games,Points,GoalDiff,GoalsFor,GoalsAgainst,Position,Season,Spend_m,Income_m,Net_Spend_m
Liverpool,38,67,28,75,47,5,2022-23,140.9,80.1,-60.8
Brighton & Hove Albion,38,62,19,72,53,6,2022-23,55.7,138.4,82.7
Aston Villa,38,61,5,51,46,7,2022-23,113.0,54.0,-59.0
Tottenham Hotspur,38,60,7,70,63,8,2022-23,179.9,38.75,-141.15
Brentford,38,59,12,58,46,9,2022-23,49.25,3.6,-45.65
Fulham,38,52,2,55,53,10,2022-23,76.1,25.4,-50.7
Crystal Palace,38,45,-9,40,49,11,2022-23,46.6,5.46,-41.15
Chelsea,38,44,-9,38,47,12,2022-23,630.25,67.86,-562.39
Wolverhampton Wanderers,38,41,-27,31,58,13,2022-23,179.51,64.87,-114.64
West Ham United,38,40,-13,42,55,14,2022-23,196.6,21.55,-175.05
AFC Bournemouth,38,39,-34,37,71,15,2022-23,93.4,0.0,-93.4
Nottingham Forest,38,38,-30,38,68,16,2022-23,198.35,5.0,-193.35
Everton,38,36,-23,34,57,17,2022-23,83.07,103.6,20.53
Leicester City,38,34,-17,51,68,18,2022-23,49.0,81.4,32.4
Leeds United,38,31,-30,48,78,19,2022-23,163.89,114.5,-49.39
Southampton,38,25,-37,36,73,20,2022-23,154.21,5.5,-148.71
