Club,Expenditure,Income,Balance
Chelsea FC,€630.25m,€67.86m,€-562.39m
Manchester United,€243.15m,€23.65m,€-219.50m
Nottingham Forest,€198.35m,€5.00m,€-193.35m
West Ham United,€196.60m,€21.55m,€-175.05m
Newcastle United,€189.10m,€14.06m,€-175.04m
Arsenal FC,€186.40m,€23.80m,€-162.60m
Tottenham Hotspur,€179.90m,€38.75m,€-141.15m
Wolverhampton Wanderers,€179.51m,€64.87m,€-114.64m
Leeds United,€163.89m,€114.50m,€-49.39m
Manchester City,€155.00m,€162.17m,€7.17m
Southampton FC,€154.21m,€5.50m,€-148.71m
Liverpool FC,€140.90m,€80.10m,€-60.80m
Aston Villa,€113.00m,€54.00m,€-59.00m
AFC Bournemouth,€93.40m,-,€-93.40m
Everton FC,€83.07m,€103.60m,€20.53m
Fulham FC,€76.10m,€25.40m,€-50.70m
Brighton & Hove Albion,€55.70m,€138.40m,€82.70m
Brentford FC,€49.25m,€3.60m,€-45.65m
Leicester City,€49.00m,€81.40m,€32.40m
Crystal Palace,€46.60m,€5.46m,€-41.15m
