Club,Expenditure,Income,Balance
Chelsea FC,€267.20m,€57.15m,€-210.05m
Manchester City,€173.40m,€64.00m,€-109.40m
Leeds United,€127.80m,-,€-127.80m
Tottenham Hotspur,€110.50m,€13.30m,€-97.20m
Aston Villa,€101.35m,€2.77m,€-98.58m
Wolverhampton Wanderers,€87.59m,€79.20m,€-8.39m
Arsenal FC,€86.00m,€19.15m,€-66.85m
Liverpool FC,€84.80m,€17.20m,€-67.60m
Manchester United,€83.95m,€19.50m,€-64.45m
Everton FC,€74.37m,€4.43m,€-69.95m
Sheffield United,€62.70m,-,€-62.70m
Leicester City,€59.40m,€53.77m,€-5.63m
West Ham United,€54.70m,€45.41m,€-9.29m
Brighton & Hove Albion,€50.10m,€20.60m,€-29.50m
West Bromwich Albion,€42.14m,€8.10m,€-34.04m
Newcastle United,€38.75m,€780k,€-37.97m
Southampton FC,€37.30m,€26.30m,€-11.00m
Fulham FC,€37.25m,-,€-37.25m
Crystal Palace,€32.40m,€20.00m,€-12.40m
Burnley FC,€1.10m,€2.30m,€1.20m
